REGIAO:;SE
UF:;RJ
ESTACAO:;VALENCA
CODIGO (WMO):;A611
LATITUDE:;-22,35805555
LONGITUDE:;-43,69555555
ALTITUDE:;370
DATA DE FUNDACAO:;27/09/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;972,6;972,6;971,8;,1;22,9;19,4;23,2;22,8;19,7;19,3;82;80;80;221;5,4;2,1;
2025/01/01;0100 UTC;0;973,1;973,4;972,6;;22,3;19,5;23;22,3;19,5;19,2;84;80;84;183;4,3;,5;
2025/01/01;0200 UTC;0;972,4;973,1;972,4;;21,4;19,6;22,3;21,4;19,7;19,4;90;84;90;322;1,5;,9;
2025/01/01;0300 UTC;0;972,2;972,5;972,2;;21,2;19,8;21,6;21,1;19,8;19,6;92;90;91;282;1,6;,9;
2025/01/01;0400 UTC;0;971,8;972,5;971,8;,2;20,9;19,7;21,2;20,9;19,8;19,6;93;91;93;68;1,6;,6;
2025/01/01;0500 UTC;0;971,6;971,8;971,6;,2;21,1;19,8;21,3;20,9;20,1;19,7;93;92;92;4;1,8;,5;
2025/01/01;0600 UTC;0;971,3;971,6;971,1;,1;21,2;20;21,3;21,1;20,1;19,8;93;92;93;312;1,5;,4;
2025/01/01;0700 UTC;0;970,6;971,3;970,4;,8;21;19,9;21,3;20,9;20,1;19,8;94;93;94;2;1,4;,6;
2025/01/01;0800 UTC;0;971,1;971,2;970,6;,1;20,6;19,7;21;20,6;19,9;19,7;94;94;94;23;1,8;,4;
2025/01/01;0900 UTC;0;971,6;971,6;971,1;,8;20,4;19,5;20,7;20,3;19,8;19,4;95;94;95;322;1,8;,9;
2025/01/01;1000 UTC;0;972,2;972,2;971,6;,1;22,6;21;22,6;20,3;21,4;19,4;95;91;91;57;1,8;,5;
2025/01/01;1100 UTC;0;972,4;972,4;972,2;;24,7;20,5;25;22,6;21,5;20,3;92;76;77;33;3,7;1,5;
2025/01/01;1200 UTC;0;972,3;972,4;972,3;,6;26,8;19,4;27,4;24,7;21,2;19,2;78;62;64;63;3,6;1,7;
