Mês,RADIACAO GLOBAL (Kj/m²),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",Ano
1,1346.2750561006371,0.2856578919139259,25.095399761411443,2020
2,1332.1421988871268,0.29641143442086054,24.725940538371017,2020
3,1375.0568617709796,0.2460557131256546,24.43925122103485,2020
4,1295.7197775471006,0.1631925904695043,23.084153919760944,2020
5,1178.4025161882291,0.123684637842531,21.146572269132747,2020
6,1110.1287992120444,0.0959410672591825,21.24624341222001,2020
7,1224.8367509337043,0.05968889297971098,20.63098690450135,2020
8,1358.700937825241,0.05969822153053919,21.46689337421811,2020
9,1457.5701791556683,0.05713262059674969,23.919948320413436,2020
10,1413.0765859481583,0.12187406766513514,24.683991250244357,2020
11,1478.4765153719893,0.17015428097395857,24.000235156842813,2020
12,1455.1431722025677,0.19571621777465587,24.65027423516145,2020
