Regiao,Estado,Mês,RADIACAO GLOBAL (Kj/m²),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),Temp_Media,Ano
CO,DF,1,1395.985288640596,0.5307319698600645,23.091523143164693,21.794994617868674,22.443258880516684,2020
CO,DF,2,1367.029353493222,0.4747335061941803,22.618179199078075,21.292365312590032,21.955272255834053,2020
CO,DF,3,1369.523778664008,0.460567296996663,22.58174470457079,21.29367335562988,21.937709030100336,2020
CO,DF,4,1357.0053911205075,0.2995265942634363,22.2760790866054,20.99250905040379,21.634294068504595,2020
CO,DF,5,1420.355944055944,0.0337152209492635,20.355852660300137,18.91885402455662,19.637353342428376,2020
CO,DF,6,1438.6094444444443,0.0,20.222361111111116,18.615194444444445,19.418777777777777,2020
CO,DF,7,1583.5278882321331,0.0,20.18695885990858,18.4652594783544,19.326109169131488,2020
CO,DF,8,1699.9757188498402,0.0,21.56059181415929,19.88606194690265,20.723326880530976,2020
CO,DF,9,1857.830694143167,0.0442211055276381,24.50938285395141,22.69246020664619,23.6009215302988,2020
CO,DF,10,1416.5299559471366,0.2142699724517906,24.727124724061813,23.21564569536424,23.971385209713027,2020
CO,DF,11,1439.9453549309194,0.2490458558815152,22.65733409285104,21.33207063514668,21.99470236399886,2020
CO,DF,12,1504.7877777777778,0.3004687069203198,23.37000275709953,21.915384615384617,22.64269368624208,2020
CO,GO,1,1376.328097846619,0.4219397246682376,25.3064009947892,24.03397086688773,24.670185930838464,2020
CO,GO,2,1377.7493429419246,0.5000489818767057,24.78992764295319,23.538682205289103,24.164304924121147,2020
CO,GO,3,1403.2731505284205,0.2744374813488511,24.898169822145725,23.612208835341363,24.255189328743544,2020
CO,GO,4,1346.5103741670937,0.1652512035551166,24.41535134494608,23.13132480151677,23.773338073231425,2020
CO,GO,5,1315.7073775573465,0.0317220917295092,22.127064464571124,20.675048836796304,21.401056650683717,2020
CO,GO,6,1320.585750798722,0.0009729145396672,22.67382716049383,21.05209274314965,21.862959951821743,2020
CO,GO,7,1380.543798071715,0.0,22.738842209316694,20.96458050166811,21.8517113554924,2020
CO,GO,8,1521.3435392947938,0.0001046298718284,24.04514311914587,22.22842077683893,23.136781947992404,2020
CO,GO,9,1634.6318459587226,0.0195264168385124,27.53393231715844,25.61990630681024,26.57691931198434,2020
CO,GO,10,1398.0673533900151,0.1925053229240596,27.430163641364132,25.83797015746407,26.6340668994141,2020
CO,GO,11,1574.4753759398498,0.1777795055201368,25.66959173423262,24.20903415614236,24.93931294518749,2020
CO,GO,12,1476.385498489426,0.2819169060463813,25.502716742716743,24.07889785889786,24.7908073008073,2020
CO,MS,1,1453.9607568978374,0.2429088957466791,27.24247844745737,25.9344081121112,26.588443279784286,2020
CO,MS,2,1391.3938642828118,0.2265363128491619,26.635476209974613,25.36938700298923,26.00243160648192,2020
CO,MS,3,1606.511088918479,0.085200179937022,27.196057029233828,25.637401091693818,26.416729060463823,2020
CO,MS,4,1484.7944754464284,0.1080038924705023,24.164131885734623,22.614487852629704,23.389309869182163,2020
CO,MS,5,1237.352503417635,0.1237883610593958,20.446505304448607,18.92765891058215,19.68708210751538,2020
CO,MS,6,1001.6001194852942,0.0895258404415454,21.675130877705985,20.411507805499223,21.043319341602604,2020
CO,MS,7,1165.8676419493463,0.0079859315196027,21.07575657739916,19.506669176824964,20.291212877112063,2020
CO,MS,8,1259.9816782069972,0.1000605426825912,22.81643257729912,21.148374609161745,21.982403593230437,2020
CO,MS,9,1365.864466278737,0.020895343972267,27.04813076549604,25.1912406786988,26.11968572209742,2020
CO,MS,10,1366.8478348623853,0.153102998696219,27.66417001848027,26.05148660422566,26.857828311352964,2020
CO,MS,11,1670.1550516705126,0.1067936507936507,26.96217956733775,25.310136403453885,26.13615798539582,2020
CO,MS,12,1469.8811155378485,0.1599609262770786,27.053933747412007,25.62984817115252,26.34189095928226,2020
CO,MT,1,1260.9731052069742,0.2837765833138583,26.459177813043148,25.22507745787048,25.84212763545681,2020
CO,MT,2,1149.4196931117665,0.4089623601220752,26.01971644690613,24.86299677765843,25.44135661228228,2020
CO,MT,3,1343.352107409925,0.2654743798185346,26.655668065192835,25.370856866225598,26.01326246570921,2020
CO,MT,4,1282.6787821908551,0.1647778457432019,26.34008939974457,25.087858663260963,25.713974031502765,2020
CO,MT,5,1164.7785675738185,0.079734146872957,24.414833235810416,23.086529298670904,23.750681267240655,2020
CO,MT,6,1255.480500468125,0.0018257625630897,25.10445977415528,23.55225185640845,24.328355815281867,2020
CO,MT,7,1332.9754783219237,0.001719303084632,25.381903491420942,23.550121900731405,24.466012696076177,2020
CO,MT,8,1407.5752996696556,0.001459478904363,27.12197694761758,25.213656478336937,26.167816712977256,2020
CO,MT,9,1389.1128294111268,0.0221903096903096,29.81944843974736,27.864701100550278,28.842074770148816,2020
CO,MT,10,1341.891781928319,0.1271826536473291,28.857724070925432,27.268721156181684,28.06322261355356,2020
CO,MT,11,1491.5751599360256,0.1501337136744517,27.97264598877721,26.481804168208164,27.227225078492687,2020
CO,MT,12,1351.7313877808103,0.1865688715429648,26.58662575032036,25.26459162338976,25.92560868685506,2020
N,AC,1,997.3571292775664,0.2873655913978494,26.694886745907155,25.567593630858937,26.13124018838305,2020
N,AC,2,906.7566655184291,0.3068998562529947,26.20543973160796,25.176683441169423,25.69106158638869,2020
N,AC,3,1013.7735693701112,0.305065963060686,26.333623647400373,25.211744523621007,25.77268408551069,2020
N,AC,4,1028.9613449972662,0.2165261382799325,25.69505201012089,24.58737700309249,25.14121450660669,2020
